N. CPUs	N. GPUs	ChunkGPU	Time (ms)	CPU Energy	FPGA Energy 	MEM Energy 	CPU+FPGA Energy 	Total Energy 
1	1	128	20595	9.91935	3.73916	12.1418	13.6585	25.8003
1	1	128	20595	9.91663	3.72769	12.147	13.6443	25.7914
1	1	128	20616.9	9.80442	3.76848	12.1845	13.5729	25.7574
1	1	128	20602.3	9.93128	3.73559	12.1501	13.6669	25.8169
1	1	128	20597.4	9.92884	3.72003	12.2022	13.6489	25.8511
1	1	128	20614	9.79547	3.72591	1688.07	13.5214	1701.59
1	1	128	20592.1	9.95816	3.7293	12.1365	13.6875	25.824
1	1	128	20597.4	9.96637	3.74434	12.1797	13.7107	25.8904
1	1	256	20599.9	10.4375	3.74984	12.2711	14.1873	26.4584
1	1	256	20602	9.72556	3.72814	12.1811	13.4537	25.6349
1	1	256	20595.7	9.96412	3.71001	12.2217	13.6741	25.8958
1	1	256	20594.2	9.94369	3.73333	12.1605	13.677	25.8376
1	1	256	20593.8	9.91543	3.72115	12.2107	13.6366	25.8473
1	1	256	20594.3	9.92484	3.73437	12.1304	13.6592	25.7896
1	1	256	20594.1	9.93724	3.73463	12.1792	13.6719	25.8511
1	1	256	20599.9	9.73439	3.69761	12.2041	13.432	25.6361
1	1	512	20592.1	9.91246	3.74357	12.1933	13.656	25.8494
1	1	512	20591.9	9.95047	3.71692	12.1862	13.6674	25.8536
1	1	512	20592.4	9.93356	3.7605	12.2288	13.6941	25.9229
1	1	512	20592.2	9.91806	3.74012	12.1538	13.6582	25.812
1	1	512	20592.3	9.89942	3.73868	12.2039	13.6381	25.842
1	1	512	20598	9.67652	3.73368	12.2374	13.4102	25.6476
1	1	512	20592	9.91983	3.71817	12.1745	13.638	25.8125
1	1	512	20592.2	9.8884	3.7086	12.2254	13.597	25.8224
1	1	1024	20595.6	9.72395	3.715	12.2246	13.439	25.6635
1	1	1024	20591.2	9.95387	3.7597	12.2516	13.7136	25.9652
1	1	1024	20591.1	9.94182	3.73701	12.1957	13.6788	25.8745
1	1	1024	20591.3	9.89507	3.71926	12.2167	13.6143	25.831
1	1	1024	20591.3	9.92565	3.75005	12.1965	13.6757	25.8722
1	1	1024	20595	9.67621	3.721	12.1727	13.3972	25.57
1	1	1024	20591.2	9.89889	3.73402	12.2197	13.6329	25.8526
1	1	1024	20591.3	9.91471	3.74038	12.1844	13.6551	25.8395
1	1	2048	20590.8	9.90846	3.73635	12.272	13.6448	25.917
1	1	2048	20590.7	9.92784	3.74505	12.1949	13.6729	25.8677
1	1	2048	20590.5	9.93304	3.73582	12.167	13.6689	25.8358
1	1	2048	20590.8	9.91582	3.69844	12.1952	13.6143	25.8095
1	1	2048	20594	9.6752	3.74839	12.1759	13.4236	25.5995
1	1	2048	20590.7	9.93626	3.74454	12.2168	13.6808	25.8976
1	1	2048	20593.1	9.60868	3.74795	12.214	13.3566	25.5706
1	1	2048	20590.7	10.6201	3.69568	12.1412	14.3158	26.457
1	1	4096	20590.5	9.92292	3.73853	12.2364	13.6615	25.8979
1	1	4096	20590.4	9.93104	3.82	12.2211	13.75	25.97
1	1	4096	20590.6	9.90218	3.7193	12.253	13.6215	25.874
1	1	4096	20590.6	9.90779	3.78564	12.2216	13.6934	25.915
1	1	4096	20590.5	9.92571	3.70983	12.2438	13.6355	25.8794
1	1	4096	20590.4	9.92974	3.71446	12.2244	13.6442	25.8686
1	1	4096	20630.5	9.64708	3.74486	12.2276	13.3919	25.6196
1	1	4096	20593.3	9.64409	3.76006	12.2401	13.4042	25.6443
1	1	8192	20592.9	9.66532	3.71086	12.2041	13.3762	25.5802
1	1	8192	20590.1	9.91547	3.71584	12.1871	13.6313	25.8184
1	1	8192	20593	9.66884	3.75304	12.2176	13.4219	25.6395
1	1	8192	20596.9	9.66262	3.73711	12.2185	13.3997	25.6182
1	1	8192	20590	9.88178	3.70426	12.2151	13.586	25.8011
1	1	8192	20590.3	9.89343	3.74243	12.1752	13.6359	25.8111
1	1	8192	20592.7	9.64498	3.75668	12.2613	13.4017	25.6629
1	1	8192	20590.6	10.873	3.025	12.1738	13.898	25.071
