N. CPUs	N. GPUs	ChunkGPU	Time (ms)	CPU Energy	FPGA Energy 	MEM Energy 	CPU+FPGA Energy 	Total Energy 
2	1	128	19990.1	9.63909	3.57507	11.8048	13.2142	25.019
2	1	128	19930.3	9.60763	3.58874	11.8392	13.1964	25.0355
2	1	128	19874.2	9.5981	3.55252	11.8022	13.1506	24.9528
2	1	128	19894.9	9.5922	3.55106	11.832	13.1433	24.9753
2	1	128	19869	9.60027	3.55259	11.759	13.1529	24.9119
2	1	128	19888.6	9.56597	3.56772	11.7674	13.1337	24.9011
2	1	128	19850.5	9.51513	3.54743	11.7163	13.0626	24.7788
2	1	128	19947.3	9.59674	3.60637	11.7769	13.2031	24.98
2	1	256	19689	9.45909	3.51423	11.6741	12.9733	24.6474
2	1	256	19882.6	9.53813	3.58265	11.7703	13.1208	24.891
2	1	256	19728	9.47687	3.50932	11.6987	12.9862	24.6849
2	1	256	19826.9	9.52651	3.55602	11.7652	13.0825	24.8477
2	1	256	19668.1	9.43603	3.54208	11.667	12.9781	24.6451
2	1	256	19707.1	9.435	3.55001	11.6675	12.985	24.6525
2	1	256	19702.5	9.44469	3.52451	11.6743	12.9692	24.6435
2	1	256	19668.8	9.4242	3.53826	11.6321	12.9625	24.5945
2	1	512	19776.2	9.44135	3.54473	11.706	12.9861	24.692
2	1	512	20042	9.59406	3.56404	11.8732	13.1581	25.0313
2	1	512	19869.9	9.56477	3.5248	11.7726	13.0896	24.8621
2	1	512	19763.6	9.44997	3.55824	11.7229	13.0082	24.7311
2	1	512	19722.5	9.43587	3.56558	11.7364	13.0015	24.7379
2	1	512	19695.3	9.44259	3.52469	11.6997	12.9673	24.667
2	1	512	19790.2	9.5304	3.50827	11.7332	13.0387	24.7719
2	1	512	19968.7	9.52263	3.57191	11.8696	13.0945	24.9641
2	1	1024	20009.1	9.51753	3.57836	11.8808	13.0959	24.9766
2	1	1024	19919.3	9.43748	3.56812	11.8433	13.0056	24.8489
2	1	1024	19805.7	1688.62	3.56496	11.7222	1692.19	1703.91
2	1	1024	20006.4	9.54951	3.57537	11.8701	13.1249	24.995
2	1	1024	20052.6	9.53558	3.56604	11.9517	13.1016	25.0533
2	1	1024	20254.3	9.73752	3.60542	11.9868	13.3429	25.3298
2	1	1024	20203	9.67171	3.60145	12.0255	13.2732	25.2987
2	1	1024	19895.2	9.47242	3.56377	11.8732	13.0362	24.9094
2	1	2048	20278.7	9.54405	3.63421	12.1217	13.1783	25.3
2	1	2048	20015.9	9.45554	3.56591	11.8659	13.0215	24.8874
2	1	2048	20283.1	9.44651	3.63692	12.1008	13.0834	25.1842
2	1	2048	20115.3	9.4392	3.61346	12.0108	13.0527	25.0634
2	1	2048	20195.6	9.46367	3.62559	12.051	13.0893	25.1402
2	1	2048	20225.9	9.61723	3.57631	12.0113	13.1935	25.2048
2	1	2048	20138	9.42172	3.61577	12.0308	13.0375	25.0683
2	1	2048	20147.8	9.45647	3.56032	12.0009	13.0168	25.0177
2	1	4096	20369.4	9.50286	3.69642	12.1995	13.1993	25.3988
2	1	4096	20223.1	9.49214	3.66931	12.1331	13.1615	25.2946
2	1	4096	20453	9.49527	3.68217	12.2217	13.1774	25.3991
2	1	4096	20308.4	9.47336	3.62798	12.0937	13.1013	25.1951
2	1	4096	20404.7	9.45827	3.68512	12.2074	13.1434	25.3508
2	1	4096	20320.5	9.42875	3.67079	12.1368	13.0995	25.2363
2	1	4096	20310.2	9.51695	3.68824	12.126	13.2052	25.3312
2	1	4096	20259.4	9.48198	3.63044	12.103	13.1124	25.2154
2	1	8192	20600.3	114.759	3.73807	12.3419	118.497	130.839
2	1	8192	20590.7	9.46875	3.70809	12.2609	13.1768	25.4377
2	1	8192	20598.1	9.52831	3.76564	12.3187	13.294	25.6127
2	1	8192	20601.8	9.5578	3.71344	12.3163	13.2712	25.5875
2	1	8192	20590.6	9.47903	3.74221	12.304	13.2212	25.5253
2	1	8192	20590.7	9.447	3.73948	12.3003	13.1865	25.4868
2	1	8192	20591.1	9.48471	3.69964	12.3235	13.1844	25.5079
2	1	8192	20590.6	9.50048	3.70947	12.2816	13.2099	25.4916
