N. CPUs	N. GPUs	ChunkGPU	Time (ms)	CPU Energy	FPGA Energy 	MEM Energy 	CPU+FPGA Energy 	Total Energy 
0	1	128	25137.9	10.1766	4.50531	15.3318	14.6819	30.0137
0	1	128	25137.9	10.177	4.54723	15.3657	14.7242	30.0898
0	1	128	25137.9	10.2001	4.5077	15.3311	14.7078	30.0388
0	1	128	25137.9	10.195	4.52512	15.3473	14.7202	30.0674
0	1	128	25137.8	10.1915	4.5069	15.3363	14.6984	30.0347
0	1	128	25137.7	10.2137	4.51147	15.3266	14.7252	30.0517
0	1	128	25138.1	10.1829	4.53326	15.3451	14.7162	30.0613
0	1	128	25138.7	10.2887	4.52584	15.3123	14.8145	30.1268
0	1	256	25135.5	10.1861	4.52911	15.3138	14.7153	30.0291
0	1	256	25135.3	10.1807	4.5306	15.3192	14.7113	30.0304
0	1	256	25135.3	10.2114	4.5521	15.337	14.7635	30.1005
0	1	256	25135.6	10.1938	4.51261	15.347	14.7064	30.0534
0	1	256	25135.5	10.1901	4.54035	15.3202	14.7304	30.0506
0	1	256	25135.3	10.1934	4.51123	15.3296	14.7046	30.0342
0	1	256	25135.2	10.1959	4.51784	15.2878	14.7138	30.0016
0	1	256	25135.4	10.1993	4.54481	15.3122	14.7441	30.0562
0	1	512	25133.8	10.1796	4.50284	15.3107	14.6825	29.9931
0	1	512	25133.9	10.1965	4.52829	15.3176	14.7248	30.0424
0	1	512	25133.9	10.2461	4.56593	15.3251	14.8121	30.1372
0	1	512	25134	10.2091	4.54157	15.3449	14.7507	30.0957
0	1	512	25133.9	10.2137	4.5273	15.3269	14.741	30.0679
0	1	512	25133.9	10.2261	4.5475	15.303	14.7736	30.0765
0	1	512	25133.9	10.2485	4.5262	15.3487	14.7747	30.1234
0	1	512	25134	10.1852	4.56042	15.31	14.7456	30.0557
0	1	1024	25133.2	10.1998	4.52828	15.3118	14.7281	30.0399
0	1	1024	25133.2	10.2045	4.52343	15.3243	14.7279	30.0523
0	1	1024	25133.1	10.2326	4.51372	15.3363	14.7463	30.0826
0	1	1024	25133.3	10.2272	4.56822	15.3129	14.7955	30.1083
0	1	1024	25133.3	10.2281	4.53959	15.3107	14.7677	30.0785
0	1	1024	25133.1	10.1981	4.51164	15.3243	14.7097	30.034
0	1	1024	25133.2	10.2159	4.57017	15.3032	14.7861	30.0893
0	1	1024	25133	10.2083	4.53252	15.3574	14.7408	30.0982
0	1	2048	25132.8	10.2276	4.53751	15.3014	14.7651	30.0665
0	1	2048	25132.8	10.2118	4.54134	15.3102	14.7531	30.0633
0	1	2048	25132.8	10.214	4.55253	15.3142	14.7666	30.0808
0	1	2048	25132.8	10.2087	4.52858	15.3036	14.7372	30.0408
0	1	2048	25132.7	10.244	4.53219	15.3383	14.7762	30.1144
0	1	2048	25132.8	10.2071	4.51161	15.3299	14.7187	30.0486
0	1	2048	25132.8	10.2104	4.56367	385.624	14.7741	400.398
0	1	2048	25132.7	115.336	4.55561	15.3255	119.892	135.217
0	1	4096	25132.6	10.1978	4.5511	15.3102	14.7489	30.0591
0	1	4096	25132.7	10.2185	4.5292	15.3184	14.7477	30.0661
0	1	4096	25132.6	11.0547	110.705	15.3066	121.76	137.067
0	1	4096	25132.5	10.2312	4.54768	15.3359	14.7788	30.1147
0	1	4096	25132.6	10.2019	4.53317	15.2688	14.7351	30.0039
0	1	4096	25132.5	10.1903	4.54619	15.3083	14.7365	30.0447
0	1	4096	25132.5	10.2291	4.51717	15.3408	14.7462	30.0871
0	1	4096	25132.5	10.1932	4.51506	15.3274	14.7083	30.0357
0	1	8192	25132.4	10.2002	4.51929	15.3124	14.7195	30.0318
0	1	8192	25132.5	10.2525	4.53363	15.3309	14.7862	30.1171
0	1	8192	25132.4	10.2481	4.53683	15.2948	14.7849	30.0797
0	1	8192	25132.4	10.2143	4.54342	15.3334	14.7577	30.0911
0	1	8192	25132.4	10.2074	4.514	15.3233	14.7215	30.0448
0	1	8192	25132.9	10.209	4.56046	15.2956	14.7694	30.0651
0	1	8192	25132.6	10.2364	1682.37	15.2907	1692.6	1707.89
0	1	8192	25132.4	10.2321	4.52315	15.2984	14.7553	30.0537
