N. CPUs	N. GPUs	ChunkGPU	Time (ms)	CPU Energy	FPGA Energy 	MEM Energy 	CPU+FPGA Energy 	Total Energy 
2	0	128	56819.5	27.7094	5.66669	33.8373	33.376	67.2133
2	0	128	56802.9	27.7057	5.65834	33.8191	33.3641	67.1832
2	0	128	56809	27.7046	5.68554	33.7382	33.3901	67.1283
2	0	128	56799.9	27.6926	5.6446	33.7606	33.3372	67.0977
2	0	128	56797.7	27.6981	5.68281	33.7811	33.3809	67.1619
2	0	128	56813.5	27.7455	5.71013	33.8407	33.4556	67.2963
2	0	128	56810.9	27.7947	5.71266	33.8626	33.5073	67.3699
2	0	128	56804.5	27.7137	5.64853	33.7586	33.3622	67.1208
2	0	256	56757	27.7095	5.63015	33.8689	33.3397	67.2086
2	0	256	56771	27.23	5.6638	33.7632	33.89	67.65
2	0	256	56762.5	28.4381	5.58755	33.8614	34.0257	67.8871
2	0	256	56762.9	27.6854	5.64664	33.8147	33.3321	67.1468
2	0	256	56766.3	27.6921	5.62124	33.7707	33.3134	67.0841
2	0	256	56770	27.7589	5.69438	33.7755	33.4533	67.2288
2	0	256	56773.3	27.7333	5.66879	33.7959	33.4021	67.198
2	0	256	56762.4	27.7079	5.71956	33.8247	33.4275	67.2522
2	0	512	56744.3	27.6984	5.6379	33.8059	33.3363	67.1422
2	0	512	56749.9	27.689	5.64054	33.7935	33.3295	67.123
2	0	512	56745.5	27.7384	5.69655	33.7644	33.435	67.1994
2	0	512	56743.2	27.7107	5.68101	33.885	33.3917	67.2767
2	0	512	56745	27.6923	5.67066	33.6895	33.363	67.0525
2	0	512	56748.7	27.7189	5.7116	33.8547	33.4305	67.2852
2	0	512	56740.8	28.5054	5.70251	33.7731	34.2079	67.981
2	0	512	56742.7	27.7219	5.65271	33.727	33.3746	67.1016
2	0	1024	56726.5	27.7328	5.62187	33.7618	33.3546	67.1164
2	0	1024	56731.7	27.7236	5.68402	33.8167	33.4076	67.2243
2	0	1024	56724.1	27.2	5.72132	33.765	33.92	67.69
2	0	1024	56734.7	27.7794	5.67784	33.8227	33.4573	67.2799
2	0	1024	56727.9	27.7694	5.69351	33.7998	33.4629	67.2627
2	0	1024	56717.8	27.7624	5.66386	33.8456	33.4263	67.2719
2	0	1024	56736	27.7784	5.73523	33.8396	33.5136	67.3532
2	0	1024	56729.4	27.7649	5.64513	33.766	33.41	67.1761
2	0	2048	56724.2	27.7339	5.65339	33.7616	33.3873	67.149
2	0	2048	56721.1	27.7151	5.69028	33.8753	33.4053	67.2806
2	0	2048	56718.9	27.6852	5.67852	33.838	33.3637	67.2017
2	0	2048	56732.4	27.77	5.73898	33.7283	33.5089	67.2372
2	0	2048	56728.8	27.7742	5.70523	33.7502	33.4794	67.2296
2	0	2048	56713.3	27.7399	5.67258	33.739	33.4125	67.1515
2	0	2048	56733.7	27.7972	5.65861	33.7674	33.4558	67.2233
2	0	2048	56730.4	27.7743	5.73999	33.8279	33.5143	67.3422
2	0	4096	56711.8	27.6755	5.73265	33.7608	33.4081	67.1689
2	0	4096	56715.3	27.8371	5.71265	33.6699	33.5498	67.2197
2	0	4096	56738.5	27.8205	5.70572	33.7216	33.5262	67.2479
2	0	4096	56720.4	27.7763	5.64188	33.7431	33.4181	67.1612
2	0	4096	56719.4	27.7513	5.74794	33.8438	33.4992	67.3431
2	0	4096	56729	27.764	5.73997	33.7604	33.504	67.2644
2	0	4096	56722	27.7819	5.70358	33.9091	33.4855	67.3946
2	0	4096	56717.7	27.7835	5.75551	33.6839	33.539	67.2229
2	0	8192	56728.8	27.8155	5.7544	33.8007	33.5699	67.3706
2	0	8192	56719.3	27.7544	5.76945	33.6918	33.5239	67.2157
2	0	8192	56719.7	28.7573	5.932	33.7244	33.69	67.414
2	0	8192	56727.5	27.8137	5.75163	33.8113	33.5653	67.3766
2	0	8192	56718.3	27.7857	5.69466	33.7265	33.4804	67.2069
2	0	8192	56718	27.8107	5.77339	33.838	33.584	67.4221
2	0	8192	56719.4	27.8068	5.74483	33.824	33.5517	67.3756
2	0	8192	56749.1	27.7769	5.796	33.8561	33.5729	67.429
